project_number,bid_total,engineers_estimate,bid_days,start_date
C18018A,9074893.9,10679750.5,227.0,2012-03-19
C18021,4507090.84,3436783.9,167.8868488635057,2012-06-06
C18022,1756837.35,1834728.7,139.90570738625473,2011-02-24
C18023,871230.2,679248.5,180.4783625282686,2012-03-26
C18024,1236534.51,1143843.0,181.8774196021312,2011-09-19
C18025,2801509.49,3033960.0,58.76039710222699,2012-07-22
C18029,1326468.0,1236733.0,76.9481390624401,2011-04-18
C18031,514892.9,451887.5,48.96699758518916,2011-07-25
C18034,5490273.5200000005,4522968.9,293.80198551113494,2011-08-08
C18035,1003726.21,1003336.0,62.95756832381464,2012-03-20
C18042,2082116.46,1938888.0,167.8868488635057,2011-08-29
C18044,550664.0,590322.0,75.54908198857756,2011-07-27
C18045,4878878.47,4371738.8,83.94342443175285,2011-06-22
